ð ə; the
ɹ ˈ ʊ k s; rooks
ˈ ɑ ɹ p ˈ i ˈ ɛ f; rpf
ˈ ɔ ɹ ə f ə s; orifice
b l ˈ ɑ t; blot
k ɹ ˈ eɪ g i; craigie
k ˈ i p ˌ æ d; keypad
d ə k ˈ oʊ t ə z; dakota's dakotas
l ˈ ʌ d ɪ ŋ t ə n; ludington
d ˌ oʊ k ə d ɹ ˈ æ m ə; docudrama
n ˈ u l i w ˌ ɛ d z; newlyweds
j ˈ u ˈ ɑ ɹ ˈ ɛ l z; urls
ɹ u m ˈ æ t ɪ k; rheumatic
s ə m ˈ ɛ ɹ ɪ t ə n z; samaritans
m ˈ ɪ n t ɝ; minter
w ˈ aɪ l z; weil's weill's whiles wiles willes wyles
p ˈ ɪ k ə t ɪ ŋ; picketing
ˈ æ l d b ˌ ɝ g; aldeburgh
k ˈ eɪ b ə l v ˌ ɪ ʒ ə n; cablevision
k ˈ ɑ n l ə n; conlan conlon
l ˈ ɪ ɹ ɪ s ɪ s t s; lyricists
f ˈ ʊ l n ə s; fullness
f l ˈ æ t l i; flatley flatly
d ˈ ɛ ɹ i z; dairies
f i ˈ ɑ n s ˌ eɪ; fiance
ʃ ˈ ɔ ɹ t k ˌ ʌ t s; shortcuts
t ˈ ɛ ɹ ɝ ˌ aɪ z d; terrorized
ɝ ˈ æ n d ə; aranda
d ˈ ʌ s t ɪ d; dusted
b ˈ u s t s; boosts
l ˈ i g ɝ z; leaguers
s ˌ ɛ n t ə m ɛ n t ˈ æ l ɪ t i; sentimentality
n ˈ ɛ v ɝ l æ n d; neverland
ɹ oʊ z ˈ æ n ə; rosanna
b ɹ ˈ ɑ s n ə n; brosnan
v ˈ eɪ l z; vales valles veils
s m ˈ ʌ ð ɝ z; smothers
ɹ ə h ˈ ɑ l; rahal
m ə k ˈ ɑ k s; macaques
s ˈ ɑ l v ə b ə l; solvable
s ˈ æ n t ə z; santa's
d ˈ ɑ d͡ʒ ɪ ŋ; dodging
z ˈ ɛ d; zed
ɹ i p ɹ ˈ ɔ s ɛ s ɪ ŋ; reprocessing
l ˈ æ n t s; lantz
ɹ ˈ aɪ n d; rind
t ɹ æ n s p ˈ oʊ z; transpose
s t ɹ ˈ ɑ d ə; strada
ˈ ɛ d ɪ s ə n z; edison's edisons
k oʊ ˌ ɪ n s ə d ˈ ɛ n t ə l; coincidental
d ɪ s ɪ n g ˈ eɪ d͡ʒ d; disengaged
s ˈ i p s; seeps
d ˈ ɛ f t; deft
f l ˈ ɪ p ɝ; flipper
s ˈ ɑ d ɝ ɪ ŋ; soldering
v ˈ eɪ p ɝ z; vapors
ə m j ˈ u z m ə n t s; amusements amusements'
ˌ ɪ ɹ ˈ eɪ d i ˌ eɪ t ɪ d; irradiated
l ˈ ɪ k w ɪ d ˌ eɪ t; liquidate
ɹ ˌ i ɪ n ʃ ˈ ʊ ɹ ə n s; reinsurance
ˈ ɛ s p i; espey espy
f ˈ ɔɪ t; foyt
b l ˈ aɪ t ɪ d; blighted
s ˈ ʌ b s ɪ d ˌ aɪ z; subsidize
k ˈ ɑ n ə n; connan connon kannan konen
ɹ ˈ ɛ n ʃ ˌ ɔ; renshaw
b ˈ eɪ s ɪ s t s; bassists
ˈ ɛ d͡ʒ w ɝ θ; edgeworth
æ n d͡ʒ ˈ aɪ n ə; angina
f ɹ ˈ ɔ s t s; frosts
h ˈ æ n s ə n z; hansen's hanson's
h ˈ ɛ m p h ˌ ɪ l; hemphill
l ˈ ʌ s k; lusk
k oʊ l ˈ i d ɝ; co-leader
s ˈ ɔ ɹ s ɝ ɝ z; sorcerers
b ˈ ʌ z ɝ d z; buzzard's buzzards
l ˈ i ɑ; leia
j ˈ ʊ ɹ oʊ s t ˌ ɑ ɹ; eurostar
g ˈ ɝ l ə k; gerlach gerlock
ɹ ˌ i s ˈ ɛ k ʃ ə n; resection
ˈ ɔ b ɝ t; aubert
s ˈ ɛ m b l ə n s; semblance
b ɝ ˈ ɑ m ɪ t ɝ; barometer
w ˈ æ g ə n ɝ; wagener waggener waggoner wagoner
ˈ ɔ z w ɔ l d z; oswald's
p ˌ ɑ l ˌ i p ɹ ˈ oʊ p ə l ˌ i n; polypropylene
p ˈ i ɹ i; peary peery pieri
k ɹ ˈ i d z; creeds
z ɑ v ˈ ɑ l ə; zavala
b ˈ ʌ k h oʊ l z; buchholz buckholz
k ˈ ɑ ɹ b ɝ ˌ eɪ t ɝ z; carburetors
m ˈ aɪ g ɹ ˌ eɪ t s; migrates
b ˈ ɑ ɹ b ɝ z; barber's barbers barbour's
l ˈ ɑ ɹ; lahr lar
s ˈ aɪ k ə l d; cycled
d ˈ ɛ l m ɝ; delmar delmer
h ˈ ɔ ɹ ə k s; horrocks
d ɪ k t ˈ eɪ t ɝ ʃ ˌ ɪ p s; dictatorships
b ˈ i d ə l; beadle beedle
k ə n s ˈ ɝ v ə t ˌ ɔ ɹ i z; conservatories
v ˈ ɛ s t ə l; vestal
h ˌ ɑ s eɪ g ˈ ɑ w ə; hasegawa
l ˈ i z ɝ l i; leisurely
d ɪ s ˈ ɪ n t ə g ɹ ˌ eɪ t ɪ ŋ; disintegrating
m ə n t ˈ eɪ n j; montagne
m ˈ æ l i ə b ə l; malleable
ˈ ɪ n d oʊ; indo
p ɹ ə t ˈ ɛ k ʃ ə n ˌ ɪ z ə m; protectionism
p ˈ ɪ p s; pips
ə s ˈ ɛ t ə l ˌ i n; acetylene
h ˈ ɪ s t ə m ˌ i n; histamine
d ˈ æ d i z; daddies daddy's
ɹ u d͡ʒ ˈ ɪ ɹ oʊ; ruggiero
ˈ ɔ s t ɹ ə s ˌ aɪ z d; ostracized
ˈ ɪ n s ə l ˌ eɪ t ɝ z; insulators
s ˈ ɝ v ɪ k s; cervix
ɹ ɪ p l ˈ aɪ ɪ ŋ; replying
v oʊ k ˈ eɪ ʃ ə n z; vocations
h ˈ æ n d s ˌ ɛ t s; handsets
ˌ ɛ s s ˌ i ˈ ɛ s; scs
ɹ ɪ v ˈ ɝ s ə l z; reversals
b l ˈ ɪ m p; blimp
t͡ʃ ˈ ɪ l i ə n z; chileans
s ə b s t ˈ æ n t͡ʃ i ˌ eɪ t; substantiate
w ˈ ɔ t ɝ m ˌ ɑ ɹ k; watermark
m ˈ æ t ɝ d; mattered
ˌ æ b ɝ ˈ eɪ ʃ ə n z; aberrations
p ɹ ɑ s θ ˈ ɛ t ɪ k s; prosthetics
m ˈ æ n ɪ k s; mannix
s ˈ ɛ t ɝ ə; cetera
d ˈ æ b ə l d; dabbled
ɹ ɪ z ˈ ɝ v ɪ ŋ; reserving
h ˈ ɑ d s ə n; hodson
m ə k n ˈ ɔ t ə n; macnaughton mcnaughton
d ˈ æ n ɪ k ə; danica
w ˈ ɪ t ə n; whiton whitten whitton witten witton
ˈ ɛ ɹ ə n d; errand
ˌ ɪ n s ˈ ɪ p i ə n t; incipient
w ˈ ɛ n d i z; wendy's
m ɑ s ˈ ɑ k ˌ i; masaki
ˌ ɪ ɹ ˈ ɛ p ɝ ə b ə l; irreparable
t ˈ aɪ ɹ ə; tyra
s ə k ˈ eɪ d ə; cicada
w ˈ ɑ f ɝ d; wafford wofford
w ˈ ʌ k s i; wuxi
h ˌ aɪ p ɝ p l ˈ eɪ ʒ ɑ; hyperplasia
w ˈ ɛ l k ɝ; welker
g ˈ æ t; gat gatt
p ˌ æ v ɝ ˈ ɑ t i; pavarotti
b ˈ ɝ f ɝ d; burford
k ˈ ʌ m f ɝ t ɪ d; comforted
n ˈ ɑ n ɑ; nona
d ˈ ɑ n ə l d z; donald's
f ɹ ˈ aɪ b ɝ g; freiberg friberg
s ˈ ʌ m ɝ ɹ z; sommers
m ˌ ɑ ɹ b ˈ ɛ l ə; marbella
p ˈ ɛ n ʃ ə n ɝ; pensioner
l ˈ aɪ n ɪ ŋ z; linings
w ˈ ɛ l b i; welby
d ɹ ˈ ɛ m t; dreamt
n ˈ i m ə n; neeman neiman nieman niemann
d͡ʒ ˈ ɛ ɹ ˌ i; geri
h ˈ ʌ t͡ʃ ɪ ŋ z; hutchings
g ˈ ʌ n ɪ s ə n; gunnison
f ɔ ɹ m ˈ æ l ə t i z; formalities
ˈ ɑ l d ə s; aldous
b ɹ ˈ ɪ m; brim brimm
j ˌ ɑ m ɑ z ˈ ɑ k i; yamazaki
ɪ m b ˈ ɛ d; embed imbed
z ˈ ɑ k i; zachi zaki
h ˌ ɛ t ɝ ə z ˈ aɪ g ə s; heterozygous
t ˈ aɪ n ɝ; tiner tyner
h ˈ ɛ ɹ d; haired
f ˈ ɪ ɹ oʊ; fierro
h ˈ ɝ s; hearse
ɹ ˈ u l b ˌ ʊ k; rulebook
s ˌ æ n h ˈ i d ɹ ɪ n; sanhedrin
m ˈ æ m ɝ i; mammary
s p ɛ k t ˈ æ k j ə l ɝ l i; spectacularly
p ɹ ˈ aɪ d z; prides
h ˈ ʊ k ɪ ŋ; hooking
p ˈ ɛ ɹ ə f ə n; paraffin
ə b ˈ ʌ t ɪ ŋ; abutting
p ˈ æ s ə f ˌ aɪ d; pacified
s ˈ oʊ l b ɝ g; solberg
ɹ ˈ aɪ t f ə l i; rightfully
w ˈ ʊ d w ˌ ɪ n d z; woodwind's woodwinds
ɹ i j ˈ u z ɪ ŋ; reusing
k ˈ ɝ d; curd kurd
k ˈ ɔ z m ə n ˌ ɔ t s; cosmonauts cosmonauts'
s t ə v ɹ ˈ oʊ z; stavros
b ˌ ɑ n h ˈ ɔ f; bahnhof
p ɹ ˌ oʊ m ɪ s k j ˈ u ə t i; promiscuity
p ɹ ɪ d ˈ ɑ m ə n ˌ eɪ t ɪ d; predominated
k ˌ ɑ n t ɹ ə v ˈ ɛ n t͡ʃ ə n; contravention
b ɹ ˈ eɪ d i z; brady's bradys
s t ə k ˈ ɑ t ˌ oʊ; staccato
l ˈ æ n z ə; lanza
d ˈ æ n z ə; danza
ˌ ɛ d w ˈ ɑ ɹ d oʊ; edoardo
ə n ˈ ɑ; ona
t͡ʃ ˈ ɪ p m ə ŋ k; chipmunk
ɹ ˌ i ə ʃ ˈ ʊ ɹ z; reassures
ˈ ɪ n s ə d ə n s ɪ z; incidences
ˌ ɪ n j u ˈ ɛ n d oʊ; innuendo
θ ˈ ʌ n d ɝ ɪ ŋ; thundering
ɹ i ɹ ˈ aɪ t s; rewrites
j ˈ u d ə l; udall
s k ɹ ˈ ʌ g z; scruggs
v ˈ oʊ l p; volpe
m ˈ æ l k ɪ n; malkin
s ˈ ʌ n i v ˌ eɪ l; sunnyvale
k ɹ ˈ oʊ n ɝ; croner kroener kroner kronor
ɔ ɹ d ˈ eɪ n; ordain
s ˌ u p ɝ k ə m p j ˈ u t ɝ z; supercomputers
k ˌ oʊ l ˈ ʌ m b oʊ; columbo
oʊ k ˈ ɑ n ɝ z; o'conner's o'connor's oconner's oconnor's
j ˈ oʊ ʃ i; yoshi
p ˈ ɑ p i z; poppies poppy's
aʊ t n ˈ ʌ m b ɝ; outnumber
ˈ ɔ d; aud awed
oʊ d͡ʒ ˈ ɪ b w ə; ojibwa
d ɪ s ɪ b ˈ ɑ d i d; disembodied
n ˌ u k l i ˈ eɪ ʃ ə n; nucleation
ə n k l ˈ eɪ m d; unclaimed
s ˈ ɪ ŋ k h ˌ oʊ l; sinkhole
t ɹ ˈ oʊ v; trove
ˌ eɪ d ˌ i ˌ ɛ s ˈ ɛ l; adsl
ˈ æ ɹ oʊ h ˌ ɛ d z; arrowheads
k ə n t ˈ eɪ d͡ʒ ə n; contagion
d ˌ ɪ s oʊ b ˈ eɪ d; disobeyed
k ə l ˌ ɛ k t ɪ v ɪ z ˈ eɪ ʃ ə n; collectivization
w ˈ ɑ l; waal wahl woll wolle
s t ˈ oʊ n ɪ ŋ; stoning
b ɝ ˈ i v m ə n t; bereavement
t͡ʃ ˈ ʌ k s; chuck's
ˈ ɑ ɹ b ɪ t ɹ ˌ ɑ ʒ; arbitrage
f ɹ ˈ u n d; freund
d aɪ ˈ æ g ə n ə l z; diagonals
ə b t ˈ eɪ n ə b ə l; obtainable
d ɪ l ˌ ɪ n i ˈ eɪ ʃ ə n; delineation
v ˈ oʊ; vo
w ˈ ɔ ɹ n ɑ k; warnock
b ɝ ˈ ɑ ʒ ɪ z; barrages
ˈ æ n t l ɝ; antler
w ˈ ɛ s t ˌ oʊ v ɝ; westover
t ˈ ɔ k i; talkie talky
t ɹ ˈ ɛ ŋ k ɝ d; trenchard
t ˈ aʊ n l i; townley
w ˈ aɪ g ə l; waigel weigel wigle wygal
b l ˈ ɪ t s k ɹ ˌ i g; blitzkrieg
b ˈ æ f ə l d; baffled
g ɪ l ˈ i d; gilead
b ˌ ɛ n ə d ˈ ɪ k t i n z; benedictine's benedictines
j ˈ u θ s; youth's
ˌ ɪ n f ˌ ɛ s t ˈ eɪ ʃ ə n z; infestations
ˌ ɑ ɹ k ˈ eɪ d i; arkady
b ˈ ɔɪ k ˌ ɑ t ɪ ŋ; boycotting
ɹ ɪ s t ˈ ɔ ɹ ɝ; restorer
p ˌ æ g ə n ˈ i n i; paganini
k l æ n d ˈ ɛ s t ə n l i; clandestinely
ˈ æ d͡ʒ ə n s; agence
p ɝ f j ˈ u z ə n; perfusion
k ˈ æ z æ k s; kazakhs
h ˈ æ n s ɝ d; hansard
l ə l ˈ i t; lalit
k ˈ oʊ v æ k s; kovacs kovaks
s k i ˈ oʊ t oʊ; scioto
k ˈ æ ʃ t; cached cashed
ɛ s k ɑ l ˈ ɑ n t i; escalante
ˈ ɑ ɹ θ ɹ ə p ˌ ɑ d; arthropod
b ˈ ʌ n z; buns
ˌ ɛ n d oʊ m ˌ ɛ t ɹ i ə l; endometrial
ˈ æ f t ɝ ʃ ˌ ɑ k s; aftershocks
b l ˈ ʌ d l ˌ aɪ n z; bloodlines
k w ˈ ɪ l m z; quilmes
t ɹ ˈ æ n z ə t ˌ ɔ ɹ i; transitory
s ˌ u p ɹ ə n ˈ æ ʃ ə n ə l; supranational
t ˈ æ m b oʊ; tambo
ˈ ɔ t ə g ɹ ˌ æ f t; autographed
l ˈ oʊ p ɛ z ɪ z; lopez's
s ə b ˈ ɝ b i ə; suburbia
f ˈ i s t ɪ ŋ; feasting
l ˈ æ n d ə; landa
j ˈ æ s ɪ n; yasin yassin
b l ˈ ʌ d i ə s t; bloodiest
k ə n f ˈ aɪ n ɪ ŋ; confining
t ɹ ˈ ɑ t ɪ ŋ; trotting
ˈ oʊ m ə n z; oehmens omens
ˈ ɪ g n ə s; ignace
k ˈ ɪ l ˌ oʊ; kilo
k ˈ ɪ t͡ʃ; kitch kitsch
t ˈ oʊ s t ɪ d; toasted
d ɹ ˈ i m l ˌ æ n d; dreamland
s k ˈ ɪ n ɝ z; skinner's
ɹ ˌ i ə d m ˈ ɪ t ɪ d; readmitted
i f ˈ ɛ m ɪ n ə t; effeminate
p ˈ ɔ ɹ g i; porgy
b ɑ ɹ t ˈ oʊ l i; bartoli
k ɪ l ˈ i n; killeen
ˈ ɛ ɹ ə s ˌ ɑ l z; aerosols
ɛ k s t ˈ ɔ ɹ t; extort
d ɹ ˈ u p ɪ ŋ; drooping
t ɹ ə v ˈ ɛ l j ə n; trevelyan
s m ˈ ɪ ð ɝ z; smithers
m ˈ oʊ t ɝ b ˌ oʊ t; motorboat
l ˌ ɛ v ɪ t ˈ eɪ ʃ ə n; levitation
m ˈ ɛ l d ɹ ə m; meldrum
h ˈ ɔ ɹ g ə n; horgan
d͡ʒ ˈ ɛ n ɪ t; genet gennett jennett
b ˈ ɑ t i; bhatti
t ˈ æ n t ə m ˌ aʊ n t; tantamount
h ˈ ɛ d ʃ ˌ ɪ p; headship
ɹ ˈ æ f t ɝ; rafter
s w ˈ ɝ l; swirl
ə n w ˈ i l d i; unwieldy
t ɹ ˈ ʌ k ɝ z; truckers truckers'
ˈ ɛ k ə l s t ɑ n; eccleston
ˌ ʌ n k ə m p l ˈ i t ɪ d; uncompleted
k u b ˈ oʊ t ə; kubota
ɹ ˈ ɪ d ɝ; ridder
ˈ æ d ə k w ə s i; adequacy
ɹ ˈ ɪ p ə l z; ripples
d͡ʒ ˈ aɪ ɹ ə s k ˌ oʊ p; gyroscope
ˌ ɪ m ˈ oʊ b ə l ˌ aɪ z d; immobilized
p ɹ ˌ i d ɪ s p ə z ˈ ɪ ʃ ə n; predisposition
k ɹ ˈ eɪ n ˌ i ə m; cranium
f ˈ i l d ɝ z; fielder's fielders
n ˈ ɔ ɹ d͡ʒ; norge
t ˈ eɪ b ə l w ˌ ɛ ɹ; tableware
f ˈ ɛ n ɝ; fenner
d͡ʒ ˈ ʌ ŋ k i; junkie junky
g ɹ ˈ æ s p t; grasped
ˈ ɛ k s k ə v ˌ eɪ t ɝ z; excavators
v ˈ æ k s ə n eɪ t ɪ d; vaccinated
s ˈ æ n d ə l; sandal
s ˈ u p ɝ d͡ʒ ˈ aɪ ə n t; supergiant
s p ˈ ɑ ɹ k i; sparky
n ˈ i t ə; nita
ˌ oʊ v ɝ w ˈ ɪ n t ɝ; overwinter
d͡ʒ ˌ i oʊ k ˈ ɛ m ə s t ɹ i; geochemistry
h ɝ ˈ ɪ ɹ i; hariri
m ˈ aɪ ə s ə n; myosin
s k ˈ oʊ l z; scholes scoles
b ˈ æ l θ ə z ɝ; balthazar
m ˈ ɑ n ə z; manas
g ˈ ɪ t; git
ˈ æ f ə d; aphid
f l ˈ aʊ ɝ d; flowered
p ɹ ɪ v ˈ ɛ n t ə b ə l; preventable
k ˈ æ ʃ i ə; cassia
ɹ ˈ oʊ b oʊ k ˌ ɑ p; robocop
s ɝ v ˌ aɪ v ə b ˈ ɪ l ɪ t i; survivability
s t ˈ ʌ b i; stubby
ˌ i ɹ ˈ ʌ p t ɪ ŋ; erupting
h ɛ n ɹ ˈ i k ɛ z; henriques henriquez
b ɹ ˈ i g ə t; breguet
ˌ ɪ t͡ʃ ˌ i k ˈ ɑ w ɑ; ichikawa
f ˈ æ b ɹ ɪ k ˌ eɪ t ɪ ŋ; fabricating
d ˌ ɛ d ˈ ɛ n d; dead-end
ˈ ʌ p s ˌ ɝ d͡ʒ; upsurge
w ˈ ɔ t ɝ l ˌ ɑ g d; waterlogged
s ˈ i p i ə; sepia
p ɪ k j ˌ u l i ˈ ɛ ɹ ə t i; peculiarity
p ˈ i l d; peeled
k ɹ ˈ ɑ f t ə n; crofton
k ˈ eɪ k ɑ l; kcal
b ˈ ɑ ɹ k ə; barca
p ə n i ə t ˈ ɔ f s k i; poniatowski
f l ˈ ɑ s; floss
k ə n s ˈ i v ɪ ŋ; conceiving
f ɪ l ˈ æ t ə l i; philately
m ˈ æ k ə v ˌ ɔɪ; mcavoy mcevoy
p ˌ æ t ə g ˈ oʊ n i ə n; patagonian
w ˈ ɔ ɹ p ɪ ŋ; warping
s n ˈ æ p d ɹ ˌ æ g ə n; snapdragon
w ˈ ɪ l j ə m s ə n z; williamson's
s t ˈ ɑ ɹ f ˌ i t; starfleet
h ˈ ɛ d m ə n; headman hedman
ˈ u z i; uzi
d ˈ ɝ θ; dearth
ɹ i θ ˈ ɪ ŋ k ɪ ŋ; rethinking
s p ˈ ɛ n d ɝ; spender
s k ˈ æ p j ə l ə; scapula
ˌ ɪ n d ˈ ɑ m ə t ə b ə l; indomitable
b ˈ ɪ k ɝ ɪ ŋ; bickering
ˌ ɪ z l ˈ ɑ m i; islami
ˈ ɛ ɹ ɪ ŋ t ə n; airington arrington errington
h ˈ æ t ɝ; hatter
d ɪ s k ə n t ˈ ɪ n j u ɪ ŋ; discontinuing
ˌ ɛ m b ɹ i ˈ ɑ l ə d͡ʒ i; embryology
k ə n k ˈ ɑ k t ə d; concocted
t ˈ oʊ j oʊ; toyo
ˈ ɑ n k ˌ ɔ ɹ z; encores
m ˈ æ g ˌ i z; maggie's
d ɪ s ɪ s t ˈ æ b l ɪ ʃ m ə n t; disestablishment
d ˈ ɛ l v; delve
p ˈ ɛ l eɪ; pele
d ˌ i p ɔ ɹ t ˈ i z; deportees
ˌ ɪ ʃ ˈ i d ˌ ɑ; ishida
d͡ʒ ˈ ʌ d͡ʒ ʃ ˌ ɪ p; judgeship
ɪ n f ˈ ɝ m; infirm
m ˈ æ g j ˌ ɑ ɹ z; magyars
s ɝ f ˈ æ k t ə n t; surfactant
t͡ʃ ˈ oʊ t; choat choate
n ˈ u z n ˌ aɪ t; newsnight
d ɪ f l ˈ eɪ ʃ ə n; deflation
w ˈ ɑ ʃ ˌ oʊ; washoe
ˈ ɛ m ə l ˌ aɪ n; emmeline
ɹ ˈ ɛ k t ə f ˌ aɪ ɝ; rectifier
k l ˈ æ n t ə n; clanton
ˈ ɑ d ə t i; oddity
f ˈ æ b ɹ ə k ˌ eɪ t; fabricate
f ˈ aɪ l ə; fila phyla
l ɛ s ˈ i; lessee
s t ˈ oʊ n h ˌ aʊ s; stonehouse
m ɑ ɹ s ˈ u p i ə l; marsupial
g ˈ ɑ t ˌ oʊ s; gatos
k ˈ ɔ ʃ ə n ˌ ɛ ɹ i; cautionary
b ˈ ɛ n t͡ʃ ɝ; bencher
n ɑ n p ˈ eɪ m ə n t; non-payment nonpayment
k ˈ ɑ ɹ d ə m ə m; cardamom
d ɪ s p ɹ ˈ u v; disprove
ˌ ɪ n t ˈ ɛ n t s; intents
ɹ ˈ ɑ k w ˌ ʊ d; rockwood
p ˈ oʊ l ɝ ˌ aɪ z ɪ ŋ; polarizing
ˌ æ n t ˌ aɪ f ˈ ʌ ŋ g ə l; antifungal
p ɹ ə s ˈ ɛ ʃ ə n ə l; processional
p ə θ ˈ ɑ l ə d͡ʒ ə s t s; pathologists
l ˈ ɛ ŋ θ ə n; lengthen
ˈ æ n d ɹ ˌ ɔɪ d z; androids
k ˈ ʌ v ə n ə n t ɝ z; covenanters
ɹ i k ə n f ˌ ɪ g j ɝ ˈ eɪ ʃ ə n; reconfiguration
ʃ ˈ ɑ ɹ m ə n; sharman
ɪ k s t ˈ ɪ ŋ g w ɪ ʃ ɪ ŋ; extinguishing
h ˈ ʌ m ɪ ŋ; humming
g l ˈ ɪ k; glick
g ˈ ɛ ɹ oʊ s; garros
ɪ g z ˈ ɔ ɹ b ɪ t ə n t; exorbitant
s m ˈ ɔ l z; smalls
s k ˈ æ t; scat
m ˈ u t ɔ n; mouton
ˌ ʌ n ɪ m p ɹ ˈ u v d; unimproved
ɹ ˈ æ n d z; rand's rands
k l ˈ ɪ ɹ k ˌ ʌ t; clear-cut clearcut
ɹ ˈ ɪ ð m ɪ k l i; rhythmically
k ɹ ˈ ʌ ʃ ɪ z; crushes
t͡ʃ ˈ ɛ s n ə t s; chestnuts
p ˈ ɛ n ə n t s; pennants
f ˈ ɔ ɹ m ə; forma
k ˈ ɑ l ɝ b ˌ oʊ n; collarbone
h ˈ æ ŋ ˌ aʊ t; hangout
ˌ ɪ n s ɝ m ˈ aʊ n t ə b ə l; insurmountable
p ˈ eɪ d ˌ eɪ; payday
p oʊ s ˈ ɑ d ə; posada
ɹ ˈ oʊ d b l ˌ ɑ k s; roadblocks
l ˈ i oʊ m ˌ ɪ n s t ɝ; leominster
k ˈ ɑ m ə l; kamel
ɹ ɪ z ˈ ɛ n t s; resents
s ˈ ɝ p l ə s ɪ z; surpluses
ˌ ɪ m ə t ˈ ɪ ɹ i ə l; immaterial
p ɹ ə f ˈ ɛ s ɪ z; professes
w ˈ ɛ θ ɝ b i; wetherby
k ˈ ɝ s ɪ ŋ; cursing
d ɪ t ˈ ɝ d͡ʒ ə n t s; detergents
ˌ ɪ l ˌ ɛ k t ɹ oʊ d ˌ aɪ n ˈ æ m ɪ k s; electrodynamics
l ˈ ɛ p t; leaped leapt
ɹ ˈ ʌ ʃ d i; rushdie
ˈ aɪ z l i; isaly isley
t ˈ eɪ k ə w ˌ eɪ; takeaway
k ə l ˌ æ b ɝ ˈ eɪ ʃ ə n ɪ s t; collaborationist
d͡ʒ ˈ ɛ n ɪ n; jenin
k ˈ ɑ ɹ p ˌ ɑ v; karpov
f ˈ i f d ə m; fiefdom
b ɑ t ˈ ɑ g l i ə; battaglia
s p ɹ ˈ ɪ ŋ f ˌ i l d z; springfield's
t ˈ oʊ t; tote
m ˈ ɔ ɹ g ɪ n s t ɝ n; morgenstern
ɪ k s p ˈ æ n d ə b ə l; expandable
k ə s ˈ i k; cacique
l ˌ ɪ θ ə w ˈ eɪ n i ə z; lithuania's
m ə k ʃ ˈ eɪ n; mcshane
k ə d ˈ i n ə; cadena
t w ˈ i k t; tweaked
f ɹ ˈ ɛ s k oʊ d; frescoed
d ˈ ʌ m p l ɪ ŋ z; dumplings
b ˈ eɪ k w ˌ ɛ l; bakewell
ˌ ɛ ɹ ə b ˈ æ t ɪ k s; aerobatics
h ˈ æ n d b ˌ æ g; handbag
k l ˈ æ k ə m ə s; clackamas
k ˈ ɔ ɹ v ə s; corvus
h ˈ æ ŋ m ə n; hangman
s ə p ɹ ˈ ɛ s ɪ z; suppresses
p ˈ æ n ɪ ŋ; panning
b ˈ ʌ m p ɪ ŋ; bumping
d ˈ ɛ n z ə l; denzel denzil
g ˈ ʊ d ɪ ŋ; gooding
ˌ oʊ g ˈ ɑ w ˌ ɑ; ogawa
h j ˈ u s ə n; heusen hewson
d ɪ f ˈ ɛ n s l ə s; defenseless
ˌ ɪ l ˈ u m ə n ˌ eɪ t s; illuminates
ɹ ˈ oʊ b i; robey robie roby
ˌ ɪ n k ə p ˈ æ s ə t i; incapacity
b ˈ u t l ˌ ɛ g z; bootlegs
t eɪ j ˈ ɑ d ə; tejada
m ˈ ɑ ɹ b ˌ ɛ ɹ i; marberry marbury
g ɹ ˈ æ n d f ˌ ɑ ð ɝ d; grandfathered
ˈ ɑ l f oʊ n z; alfons
d ɪ s t ˈ ɔ ɹ t ɪ ŋ; distorting
g ˈ ʌ s t ə f s ə n; gustafson
ˈ ɑ k s ɪ d ˌ aɪ z ɝ; oxidizer
ˌ ɪ m p ɹ ˌ ɛ ʃ ə n ˈ ɪ s t ɪ k; impressionistic
ə k ˈ i k oʊ; akiko
k l ɑ ɹ ˈ i t ə; clarita
ɪ v ˈ æ p ɝ ˌ eɪ t; evaporate
ɹ ˈ æ s k ə l z; rascals
t ɑ k ˈ ɑ g i; takagi
f ˌ u d͡ʒ i m ˈ ɔ ɹ i; fujimori
b l ˈ u b ˌ ɛ l; bluebell
ˈ ɑ ɹ v ə n d; aravind
ʃ ˈ ɑ ɹ p ʃ u t ɝ; sharpshooter
ˈ æ k ɹ ə b ˌ æ t; acrobat
s ˈ eɪ f k ˈ i p ɪ ŋ; safekeeping
ɹ i t ɹ ˈ i v ɝ; retriever
b ˈ ʌ m b ə l ɪ ŋ; bumbling
n ˈ ʊ ɹ oʊ s ˌ ɝ d͡ʒ ə n; neurosurgeon
b ˌ u v i ˈ eɪ; bouvier
p ˈ ɛ t i k ˌ oʊ t; petticoat
p ə l ˈ ɪ t ɪ s ˌ aɪ z d; politicized
ə n w ˈ eɪ v ɝ ɪ ŋ; unwavering
m ˈ ɑ ɹ t ɪ n ˌ oʊ; martineau
w ˈ ɪ d i n ɝ; widener
ɑ d ˈ æ s ə t i; audacity
ɑ d ˈ ɔ ɹ n oʊ; adorno
p ˌ ɛ l ɛ g ɹ ˈ i n oʊ; pellegrino
ʃ ˈ ʊ ɹ ə t i; surety
s ɪ d ˈ u s ɪ ŋ; seducing
f ˈ ɛ ɹ ɪ ŋ t ə n; farrington ferrington
d͡ʒ ˈ ɛ n ə t ˌ aɪ p s; genotypes
θ ˈ ɪ k ɪ t; thicket
ə v ˈ aʊ d; avowed
d ˈ aʊ t ɪ ŋ; doubting
s ˈ ɪ b ə l; sibil sibyl
k ˈ æ l ɪ f; calef calif califf
ˈ ɑ l d ə; alda
